row_id,user_id,username,email,password_hash,first_name,last_name,subscription_type,created_at
c7d4f7f9-8db4-493b-a7d3-96c8b1f1200d,1,rudra.dora,rudra.dora@example.com,rudra@123ra,rudra,dora,Free,03:45.7
46bdc471-0ea9-4303-98d7-86a63de2eef1,2,vihaan.sabharwal,vihaan.sabharwal@example.com,vihaan@123al,vihaan,sabharwal,Premium,04:28.9
5abcc5be-fd0a-43b5-87b1-3b757c81d011,3,mason.ranganathan,mason.ranganathan@example.com,mason@123an,mason,ranganathan,Premium,11:04.5
4781162c-223c-4222-9535-fbb8b9882500,4,tanmayi.chaudhari,tanmayi.chaudhari@example.com,tanmayi@123ri,tanmayi,chaudhari,Free,15:28.8
8ee7d1f9-305b-480f-a22c-02aabc5fefa3,5,akshay.prakash,akshay.prakash@example.com,akshay@123sh,akshay,prakash,Student,12:45.2
6d17179b-bfda-42b0-8861-7965328083a5,6,ojas.choudhury,ojas.choudhury@example.com,ojas@123ry,ojas,choudhury,Premium,08:45.0
5e4a65bf-2f7e-4317-8bfe-c3232421ae24,7,janani.comar,janani.comar@example.com,janani@123ar,janani,comar,Student,35:08.1
8f724198-2df7-4176-a193-2f3ec3f1f536,8,udarsh.sahota,udarsh.sahota@example.com,udarsh@123ta,udarsh,sahota,Free,58:06.3
82f1f315-fa85-4be4-be02-82bbf77e08e2,9,arya.pandey,arya.pandey@example.com,arya@123ey,arya,pandey,Premium,10:07.9
c04daba1-913a-4240-8e0f-3ebc03ec6f74,10,idika.bhatnagar,idika.bhatnagar@example.com,idika@123ar,idika,bhatnagar,Family,30:01.2
4dfac7f2-5e19-4de9-8f21-efc54f34a33a,11,kevin.atwal,kevin.atwal@example.com,kevin@123al,kevin,atwal,Free,01:56.6
628d1f9f-6176-4f4e-980b-4eec3f1159fb,12,gauri.wali,gauri.wali@example.com,gauri@123li,gauri,wali,Free,08:04.1
86c0b411-4e3d-42f2-9799-56a35a31d433,13,manbir.pall,manbir.pall@example.com,manbir@123ll,manbir,pall,Free,17:25.2
0ab89c3d-44f4-49d3-9385-c8f1a81a9770,14,bhavani.srinivasan,bhavani.srinivasan@example.com,bhavani@123an,bhavani,srinivasan,Premium,04:00.6
31795102-7b3b-488b-87b7-5285bf096da3,15,ati.loke,ati.loke@example.com,ati@123ke,ati,loke,Student,21:09.5
89335c5b-d5f5-40f2-888a-b37b4cdf5316,16,peter.sharaf,peter.sharaf@example.com,peter@123af,peter,sharaf,Student,52:50.5
4f719677-b1ba-4427-a259-b994997797ad,17,waida.mohanty,waida.mohanty@example.com,waida@123ty,waida,mohanty,Family,09:12.0
08da9026-e398-4760-a06b-de73714f88ae,18,waida.gala,waida.gala@example.com,waida@123la,waida,gala,Free,05:41.3
58738d4c-27b4-4318-bea2-29085b5ea900,19,gagan.sabharwal,gagan.sabharwal@example.com,gagan@123al,gagan,sabharwal,Student,48:44.6
10cdb8cc-5c30-4d2b-809a-2ec406371805,20,triveni.kumer,triveni.kumer@example.com,triveni@123er,triveni,kumer,Free,44:09.2
